Id,Model,Price,Age_08_04,KM,Fuel_Type,HP,Color
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,61000,Petrol,110,Red
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,60829,Petrol,110,Blue
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,60500,Petrol,110,Red
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,35,59500,Diesel,69,Silver
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,59000,Petrol,110,Grey
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,58954,Petrol,110,Green
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,58798,Petrol,110,Grey
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,58363,Petrol,110,Black
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,58277,Petrol,110,Grey
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,57711,Diesel,90,Green
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,57269,Petrol,110,Green
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,56001,Petrol,110,Black
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,55968,Petrol,110,Blue
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,55678,Petrol,110,Blue
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,55539,Petrol,110,Red
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,55400,Petrol,110,Red
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,55350,Petrol,110,Green
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,54600,Petrol,110,Blue
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,53773,Petrol,110,Grey
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,53719,Petrol,110,Grey
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,53644,Petrol,110,Green
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,53350,Petrol,110,Black
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,53000,Petrol,110,Silver
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,52084,Petrol,97,Yellow
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,52000,Petrol,97,Black
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,51945,Petrol,110,Green
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,51732,Petrol,97,Green
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,50873,Petrol,110,Blue
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,50856,Petrol,110,Green
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,50640,Petrol,110,Blue
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,50000,Petrol,97,Black
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,49500,Petrol,110,Blue
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,49332,Petrol,110,Red
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,49291,Petrol,110,Black
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,48952,Diesel,90,Blue
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,48945,Petrol,110,Red
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,48928,Diesel,69,Grey
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,48197,Petrol,110,Black
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,48052,Diesel,69,Grey
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,48011,Petrol,110,Blue
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,48000,Petrol,110,Red
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,47350,Petrol,110,Grey
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,46821,Petrol,97,Red
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,46694,Petrol,110,Red
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,46515,Petrol,97,Red
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,46327,Petrol,110,Black
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,46304,Petrol,97,Green
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,45886,Petrol,110,Green
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,45713,Petrol,97,Blue
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,45600,Petrol,110,Grey
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,45287,Petrol,110,Red
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,45081,Petrol,110,Grey
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,44830,Petrol,110,Green
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,44757,Petrol,97,Red
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,44218,Petrol,97,Grey
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,43632,Petrol,110,Blue
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,43427,Petrol,110,Green
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,43254,Petrol,110,Red
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,43000,Petrol,110,White
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,42823,Petrol,110,Red
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,42560,Petrol,110,Silver
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,41754,Petrol,110,Red
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,44,41499,CNG,110,Green
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,41339,Petrol,110,Blue
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,41000,Petrol,110,Grey
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,40000,Petrol,110,Grey
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,39757,Petrol,110,Blue
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,39659,Petrol,110,Green
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,39650,Petrol,110,Blue
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,39524,Petrol,97,Grey
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,39516,Petrol,97,Grey
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,39439,Petrol,97,Grey
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,39000,Petrol,97,Blue
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,38932,Petrol,110,Green
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,38812,Petrol,97,Red
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,38665,Petrol,110,Green
312,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,38653,Petrol,110,Green
313,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,38461,Petrol,110,Grey
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,38078,Petrol,97,Grey
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,37782,Petrol,97,Red
316,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,37576,Petrol,97,Grey
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,37533,Petrol,110,Green
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,37389,Petrol,110,Black
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,37320,Petrol,97,Blue
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,37000,Petrol,97,Green
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,37000,Petrol,110,Green
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,36566,Petrol,110,Red
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,36269,Petrol,110,Blue
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,36074,Petrol,110,Silver
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,36066,Petrol,110,Black
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,34599,Petrol,110,Grey
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,34000,Petrol,110,Red
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,33623,Petrol,97,Grey
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,33591,Petrol,110,Red
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,33258,Petrol,110,Grey
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,33113,Petrol,110,Red
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,33000,Petrol,110,Silver
333,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,32941,Petrol,110,Yellow
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,32781,Petrol,110,Blue
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,32532,Petrol,110,Black
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,32431,Petrol,97,Silver
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,32000,Petrol,110,Black
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,31000,Petrol,110,Silver
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,30989,Petrol,110,Green
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,30742,Petrol,110,Silver
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,30190,Petrol,110,Red
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,29716,Petrol,116,Grey
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,29716,Petrol,110,Silver
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,29640,Petrol,110,Red
346,?TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,29056,Petrol,97,Grey
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,28715,Petrol,110,Grey
348,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,28571,Petrol,110,Red
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,28362,Petrol,110,Blue
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,28150,Petrol,110,Red
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,27301,Petrol,110,Grey
352,?TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,27240,Petrol,110,Blue
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,27170,Petrol,97,Yellow
354,?TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,27141,Petrol,97,Green
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,26262,Petrol,110,Grey
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,26000,Petrol,97,Grey
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,25228,Petrol,110,Blue
358,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,25062,Petrol,110,Green
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,24723,Petrol,110,Green
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,24650,Petrol,110,Black
361,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,24553,Petrol,110,Green
362,?TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,24475,Petrol,110,Red
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,24444,Petrol,110,Blue
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,24011,Petrol,97,Grey
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,24000,Petrol,97,Grey
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,23616,Petrol,110,Green
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,22865,Petrol,110,Silver
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,22780,Petrol,86,Green
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,21904,Petrol,97,Blue
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,21651,Petrol,97,Green
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,21500,Petrol,110,Red
372,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,21027,Petrol,110,Green
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,18500,Petrol,110,Red
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,18000,Petrol,110,Green
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,17051,Petrol,97,Grey
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,16512,Petrol,97,Grey
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,16325,Petrol,110,Silver
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,16000,Petrol,97,Grey
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,12000,Petrol,110,Green
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,10000,Petrol,97,Blue
381,?TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,216000,Diesel,69,White
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,198167,Diesel,69,Red
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,176000,Diesel,69,Blue
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,174139,Diesel,72,Blue
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,174000,Diesel,69,Silver
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,150000,CNG,110,Blue
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,149329,Diesel,72,Red
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,146736,Petrol,110,Silver
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,143513,Diesel,69,Grey
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,142130,CNG,110,Red
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,140700,Diesel,69,Grey
392,?TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,138394,Diesel,69,Silver
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,137000,Diesel,72,Blue
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,135258,Diesel,69,Grey
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,131364,Petrol,110,Black
396,TOYOTA Corolla 1.8D Stationwagen,4450,56,129155,Diesel,69,White
397,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,126110,Petrol,110,Black
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,119742,Petrol,110,Blue
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,117913,Diesel,69,Blue
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,117430,Diesel,90,Blue
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,117175,Petrol,110,Green
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,115558,Petrol,110,Blue
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,115113,Petrol,97,Grey
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,115046,Diesel,69,Blue
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,113997,Diesel,72,Green
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,107859,Petrol,97,Blue
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,104805,Petrol,97,Black
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,103454,Petrol,110,Green
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,103018,Diesel,69,White
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,102352,Petrol,110,Red
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,102030,Petrol,97,Green
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,101352,Petrol,110,Red
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,99865,Petrol,110,Red
414,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,99323,Petrol,110,Black
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,98100,Diesel,69,Grey
416,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,98040,Petrol,110,Grey
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,97600,Petrol,110,Silver
418,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,97234,Petrol,110,Blue
419,?TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,96135,Diesel,72,Black
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,96100,Petrol,110,Green
421,?TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,94401,Diesel,72,Red
422,?TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,94122,Petrol,86,Blue
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,91340,Petrol,110,Blue
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,90200,Petrol,97,White
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,90097,Diesel,69,Red
426,?TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,89049,Petrol,97,Black
427,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,89000,Petrol,110,Grey
428,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,87274,Petrol,110,Grey
429,?TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,86221,Petrol,110,Grey
430,TOYOTA Corolla 1.6 VVT-i L. Sol Wagon Stationwagen,12500,54,84598,Petrol,110,Red
431,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10500,50,83567,Petrol,110,Green
432,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,50,83106,Petrol,110,Silver
433,?TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12200,50,82805,Petrol,110,Green
434,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,10950,50,82735,Petrol,97,Black
435,?TOYOTA Corolla 1.6 LB LINEA SOL 4/5-Doors,10950,54,81905,Petrol,110,Green
436,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11290,49,80320,Petrol,110,Silver
437,TOYOTA Corolla 1.4 VVT-i Linea Sol HB 2/3-Doors,10750,49,80090,Petrol,97,Silver
438,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10895,53,79800,Petrol,110,Red
439,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11500,47,78785,CNG,110,Black
440,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9750,48,78600,Petrol,110,Blue
441,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10250,55,77780,Petrol,110,Red
442,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12500,49,77648,Petrol,110,Red
443,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11950,54,77270,Petrol,110,Blue
444,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10750,50,76167,Petrol,97,Blue
445,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,11450,46,75249,Petrol,110,Red
446,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,75231,Petrol,110,Grey
447,TOYOTA Corolla 1.6 G6 HB 2/3-Doors,11750,48,75045,Petrol,110,Silver
448,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,10950,50,74849,Petrol,110,Red
449,?TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,55,74715,Petrol,110,Grey
450,?TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,10995,49,74656,Diesel,69,Silver
451,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,56,74500,Petrol,97,Grey
452,?TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,8900,49,74494,Petrol,110,Grey
453,TOYOTA Corolla 1.6 4/5-Doors,10500,50,73634,Petrol,110,Blue
454,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,47,73403,Petrol,110,Grey
455,?TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11450,49,73175,Petrol,97,Silver
456,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12000,52,73000,Petrol,110,Grey
457,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,50,72242,Petrol,110,Blue
458,?TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9850,53,72000,Petrol,97,Green
459,?TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10950,54,71725,Petrol,110,Blue
460,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,71276,Petrol,110,Green
461,TOYOTA Corolla 1.9 D Linea Terra 2/3-Doors,8695,50,70440,Diesel,69,Green
462,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10990,53,70239,Petrol,110,Blue
463,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9500,55,69813,Petrol,97,Silver
464,?TOYOTA Corolla 1.3 16V HATCHB G6 2/3-Doors,11950,49,69659,Petrol,86,Red
465,TOYOTA Corolla 1.4 16V VVT I LIFTB SOL 4/5-Doors,10750,46,69574,Petrol,97,Blue
466,?TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8750,47,69000,Diesel,69,Blue
467,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,8750,49,68565,Petrol,110,Blue
468,TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,11450,55,68520,Diesel,72,Red
469,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,46,68414,Petrol,97,Red
470,TOYOTA Corolla 1.6 16V WAGON LINEA LUNA Stationwagen,11950,56,66777,Petrol,110,Red
471,?TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,13950,52,66527,Petrol,110,Blue
472,?TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11250,54,66063,Petrol,110,Black
473,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10900,50,65471,Petrol,97,Green
474,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9750,56,65400,Petrol,97,Silver
475,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,52,65170,Petrol,97,Grey
476,TOYOTA Corolla 1.6 sol lb 4/5-Doors,11950,56,65000,Petrol,110,Silver
